Doc_ID,File_Name,เรื่อง,File_Code,Category_Code,หัวเรื่อง,ประเภทเอกสาร,วันที่สิ้นสุด,สถานะ,สถาบันผู้เกี่ยวข้อง,กฎหมาย
0008,แนวปฏิบัติ เรื่อง การบริหารความเสี่ยงด้านปฏิบัติการ,แนวปฏิบัติธนาคารแห่งประเทศไทย เรื่อง การบริหารความเสี่ยงด้านปฏิบัติการ,25510385.pdf,1,['สถาบันการเงิน'],['อื่น ๆ'],['1'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']",[]
0058,แนวนโยบาย เรื่อง การกำกับดูแลข้อมูล (Data Governance),นำส่งแนวนโยบายธนาคารแห่งประเทศไทย เรื่อง การกำกับดูแลข้อมูล (Data Governance),25640163.pdf,1,['สถาบันการเงิน'],"['อื่น ๆ', 'หนังสือเวียน']",['1900-01-01 00:00:00'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'บริษัทเงินทุน', 'บริษัทเครดิตฟองซิเอร์', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']",[]
0050,สนส. 16/2563 หลักเกณฑ์การใช้บริการจากพันธมิตรทางธุรกิจ (business partner) ของสถาบันการเงิน,นำส่งประกาศธนาคารแห่งประเทศไทยจำนวน 3 ฉบับ (ประกาศ ธปท. ที่ สนส. 16/2563 business partner),25630228.pdf,1,['สถาบันการเงิน'],"['ประกาศ ธปท.', 'หนังสือเวียน']","['1900-01-01 00:00:00', '2020-09-04 00:00:00']",['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'บริษัทเงินทุน', 'บริษัทเครดิตฟองซิเอร์', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']","['พรบ.สง. มาตรา  47', 'พรบ.สง. มาตรา  71', 'พรบ.สง. มาตรา  41']"
0009,แนวปฏิบัติ เรื่อง การบริหารความต่อเนื่องทางธุรกิจ (Business Continuity Management : BCM) และการจัดทำแผนรองรับการดำเนินธุรกิจอย่างต่อเนื่อง (Business Continuity Plan : BCP) ของสถาบันการเงิน,แนวปฏิบัติธนาคารแห่งประเทศไทย เรื่อง การบริหารความต่อเนื่องทางธุรกิจ (Business Continuity Management : BCM) และการจัดทำแผนรองรับการดำเนินธุรกิจอย่างต่อเนื่อง (Business Continuity Plan : BCP) ของสถาบันการเงิน,25510386.pdf,1,['สถาบันการเงิน'],['อื่น ๆ'],['1'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']",[]
0010,แนวปฏิบัติ เรื่อง การจัดทำแผนรองรับการดำเนินธุรกิจอย่างต่อเนื่องสำหรับกรณีการระบาดของโรคติดต่อร้ายแรง,แนวปฏิบัติธนาคารแห่งประเทศไทย เรื่อง การจัดทำแผนรองรับการดำเนินธุรกิจอย่างต่อเนื่องสำหรับกรณีการระบาดของโรคติดต่อร้ายแรง,25510387.pdf,1,['สถาบันการเงิน'],['อื่น ๆ'],['1'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']",[]
0021,สนส. 8/2555 หลักเกณฑ์การออกตั๋วเงินของธนาคารพาณิชย์,หลักเกณฑ์การออกตั๋วเงินของธนาคารพาณิชย์,25550133.pdf,1,['สถาบันการเงิน'],['ประกาศ ธปท.'],['41092'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']","['พรบ.สง. มาตรา  46', 'พรบ.สง. มาตรา  39', 'พรบ.สง. มาตรา  71', 'พรบ.สง. มาตรา  41']"
0003,สนส. 47/2551 การกำหนดให้ธนาคารพาณิชย์ถือปฏิบัติเรื่องบัตรเงินฝาก,การกำหนดให้ธนาคารพาณิชย์ถือปฏิบัติเรื่องบัตรเงินฝาก ,25510337.pdf,1,['สถาบันการเงิน'],['ประกาศ ธปท.'],['39664'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']","['พรบ.สง. มาตรา  44', 'พรบ.สง. มาตรา  41']"
0004,สนส. 48/2551 การกำหนดให้ธนาคารพาณิชย์และบริษัทเงินทุนปฏิบัติเกี่ยวกับการซื้อขายตั๋วเงิน ,การกำหนดให้ธนาคารพาณิชย์และบริษัทเงินทุนปฏิบัติเกี่ยวกับการซื้อขายตั๋วเงิน,25510338.pdf,1,['สถาบันการเงิน'],['ประกาศ ธปท.'],['39664'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'บริษัทเงินทุน', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']",['พรบ.สง. มาตรา  41']
0056,สนส. 10/2564 หลักเกณฑ์การรับฝากเงินหรือรับเงินจากประชาชนสำหรับบริษัทเงินทุนและบริษัทเครดิตฟองซิเอร์,นำส่งหลักเกณฑ์การรับฝากเงินหรือรับเงินจากประชาชนสำหรับบริษัทเงินทุนและบริษัทเครดิตฟองซิเอร์,25640140.pdf,1,['สถาบันการเงิน'],"['ประกาศ ธปท.', 'หนังสือเวียน']","['1900-01-01 00:00:00', '2021-08-12 00:00:00']",['ใช้อยู่'],"['บริษัทเงินทุน', 'บริษัทเครดิตฟองซิเอร์']","['พรบ.สง. มาตรา  39', 'พรบ.สง. มาตรา  41', 'พรบ.สง. มาตรา  46', 'พรบ.สง. มาตรา  36']"
0006,สนส. 65/2551 การกำหนดวันและเวลาทำการของบริษัทเงินทุนและบริษัทเครดิตฟองซิเอร์ ,การกำหนดวันและเวลาทำการของบริษัทเงินทุนและบริษัทเครดิตฟองซิเอร์,25510355.pdf,1,['สถาบันการเงิน'],['ประกาศ ธปท.'],['39664'],['ใช้อยู่'],"['บริษัทเงินทุน', 'บริษัทเครดิตฟองซิเอร์']",['พรบ.สง. มาตรา  37']
