Doc_Page_Sen_ID,Sentence
0002|0005|0014,เอกฉันท์ (2.1) การให้สินเชื่อ ลงทุน ก่อภาระผูกพัน หรือทำธุรกรรมที่มีลักษณะ คล้ายการให้สินเชื่อแก่ส่วนราชการ กองทุนเพื่อการฟื้นฟูและพัฒนาระบบสถาบันการเงิน หรือ บริษัทที่ส่วนราชการ หรือกองทุนเพื่อการฟื้นฟูและพัฒนาระบบสถาบันการเงิน มีอำนาจควบคุม กิจการหรือถือหุ้นเกินกว่าร้อยละ 10 ของพื้นที่จำหน่ายแล้วทั้งหมดของกิจการนั้น หรือ (2.2) การให้สินเชื่อ ลงทุน ก่อภาระผูกพัน หรือทำธุรกรรมที่มีลักษณะ คล้ายการให้สินเชื่อแก่ลูกค้า
0002|0008|0004,“การให้สินเชื่อ” หมายความว่า การให้กู้ยืมเงิน หรือซื้อ ซื้อลด รับช่วงซื้อลด ตั๋วเงินเป็นเจ้าหนี้เนื่องจากได้จ่ายหรือสั่งให้จ่ายเงินเพื่อประโยชน์ของผู้เคยค้า หรือเป็นเจ้าหนี้ เนื่องจากได้จ่ายเงินตามภาระผูกพันตามเล็ตเตอร์ออฟเครดิตหรือภาระผูกพันอื่น (3) “ธุรกรรมที่มีลักษณะคล้ายการให้สินเชื่อ” หมายความว่า ธุรกรรมแฟ็กเตอริง ธุรกรรมการให้เช่าซื้อ ธุรกรรมการให้เช่าแบบลีส
0002|0008|0018,(6) “บริษัทแม่” หมายความว่า บริษัทที่มีอำนาจควบคุมกิจการของบริษัทอื่นไม่ว่า โดยทางตรงหรือทางอ้อม ในลักษณะดังต่อไปนี้ (6.1) มีหุ้นในบริษัทหนึ่งเกินกว่าร้อยละห้าสิบของหุ้นที่จำหน่ายได้แล้วทั้งหมด (6.2) มีอำนาจควบคุมคะแนนเสียงส่วนใหญ่ในที่ประชุมผู้ถือหุ้นของบริษัทหนึ่ง (6.3) มีอำนาจควบคุมการแต่งตั้งหรือถอดถอนผู้มีอำนาจในการจัดการหรือ กรรมการตั้งแต่กึ่งหนึ่งของกรรมการทั้งหมดในบริษัทหนึ่ง หรือ
0002|0009|0006,ผู้จัดการ รองผู้จัดการ ผู้ช่วยผู้จัดการ กรรมการที่เป็นผู้บริหารของสถาบัน การเงินหรือบริษัท แล้วแต่กรณี หรือผู้ซึ่งมีตำแหน่งเทียบเท่าที่เรียกชื่ออย่างอื่น (9.2) บุคคลซึ่งสถาบันการเงินหรือบริษัททำสัญญาให้มีอำนาจในการบริหารงาน ทั้งหมดหรือบางส่วน หรือ (9.3) บุคคลที่ตามพฤติการณ์มีอำนาจควบคุมหรือครอบงำผู้จัดการหรือกรรมการ หรือการจัดการของสถาบันการเงินหรือบริษัท ให้ปฏิบัติตามคำสั่งของตนในการกำหนดนโยบาย หรือการดำเนินงานของสถาบันการเงินหรือ
0002|0010|0000,(11) “ผู้ถือหุ้นรายใหญ่” หมายความว่า บุคคลที่ถือหุ้นหรือมีไว้ซึ่งหุ้นของสถาบัน การเงินเกินร้อยละห้าของหุ้นที่จำหน่ายได้แล้วทั้งหมด และให้นับรวมหุ้นที่ถือโดยผู้ที่เกี่ยวข้องด้วย (12) “กิจการที่มีผลประโยชน์เกี่ยวข้อง” หมายความว่า บริษัทที่สถาบันการเงิน กรรมการของสถาบันการเงิน ผู้มีอำนาจในการจัดการของสถาบันการเงิน หรือผู้ที่เกี่ยวข้องกับ บุคคลเหล่านี้ ถือหุ้นรวมกันเกินร้อยละสิบของจำนวนหุ้นที่
0002|0013|0021,"มีเงื่อนไขอย่างน้อยในสัญญาว่า ในกรณีที่ สง, ผ่อน เวลาให้แก่ลูกหนี้ในการชำระหนี้ บุคคลที่ 3 ที่เป็นผู้ประกันได้ตกลงกับ การผ่อนเวลาดังกล่าว และยินยอมไม่ถือเอาการผ่อนเวลาดังกล่าวเป็นเหตุ ปลดเปลื้องความรับผิดชอบของผู้ค้ำประกัน ตามหนังสือเวียน ธปท. ที่ ธปท. (ฝ่ายงาน) .(21)ว. 25 (วันที่)ลง (วันที่)เรื่อง การนำ หลักประกันประเภทเงินฝากบุคคลที่ 3 มาหักออกจากมูลหนี้ก่อนการกัน เงินสำรอง ปรับลดความเสี่ยง และคำนวณสินทรัพย์เสี่ยงด้าน"
0012|0007|0000,คําจํากัดความ (1) “การให้สินเชื่อ” หมายความว่า การให้กู้ยืมเงิน หรือซื้อ ซื้อลด รับช่วงซื้อลด ตั๋วเงินเป็นเจ้าหนี้เนื่องจากได้จ่ายหรือสั่งให้จ่ายเงินเพื่อประโยชน์ของผู้เคยค้า หรือเป็นเจ้าหนี้ เนื่องจากได้จ่ายเงินตามภาระผูกพันตามเล็ตเตอร์ออฟเครดิตหรือภาระผูกพันอื่น (2) “ธุรกรรมที่มีลักษณะคล้ายการให้สินเชื่อ” หมายความว่า ธุรกรรมแฟกเตอริง ธุรกรรมการให้เช่าซื้อ
0012|0007|0001,” หมายความว่า การให้กู้ยืมเงิน หรือซื้อ ซื้อลด รับช่วงซื้อลด ตั๋วเงินเป็นเจ้าหนี้เนื่องจากได้จ่ายหรือสั่งให้จ่ายเงินเพื่อประโยชน์ของผู้เคยค้า หรือเป็นเจ้าหนี้ เนื่องจากได้จ่ายเงินตามภาระผูกพันตามเล็ตเตอร์ออฟเครดิตหรือภาระผูกพันอื่น (2) “ธุรกรรมที่มีลักษณะคล้ายการให้สินเชื่อ” หมายความว่า ธุรกรรมแฟกเตอริง ธุรกรรมการให้เช่าซื้อ ธุรกรรมการให้เช่าแบบลีสซิ่ง และธุรกรรมอื่น
0012|0007|0014,“บริษัทแม่” หมายความว่า บริษัทที่มีอำนาจควบคุมกิจการของบริษัทอื่น ไม่ว่า โดยทางตรงหรือทางอ้อม ในลักษณะดังต่อไปนี้ (5.1) มีหุ้นในบริษัทหนึ่งเกินกว่าร้อยละห้าสิบของหุ้นที่จำหน่ายได้แล้วทั้งหมด (5.2) มีอำนาจควบคุมคะแนนเสียงส่วนใหญ่ในที่ประชุมผู้ถือหุ้นของบริษัทหนึ่ง (5.3) มีอำนาจควบคุมการแต่งตั้งหรือถอดถอนผู้มีอำนาจในการจัดการหรือ กรรมการตั้งแต่กึ่งหนึ่งของกรรมการทั้งหมดในบริษัทหนึ่ง หรือ (5.4)
0012|0007|0019,ของบริษัทหนึ่ง (5.3) มีอำนาจควบคุมการแต่งตั้งหรือถอดถอนผู้มีอำนาจในการจัดการหรือ กรรมการตั้งแต่กึ่งหนึ่งของกรรมการทั้งหมดในบริษัทหนึ่ง หรือ (5.4) มีอำนาจควบคุมกิจการในลักษณะอื่นใดตามหลักเกณฑ์ที่ธนาคารแห่ง ประเทศไทยประกาศทําหนด การมีหุ้นในบริษัทหนึ่งตั้งแต่ร้อยละยี่สิบขึ้นไปของหุ้นที่จำหน่ายได้แล้วทั้งหมด ไม่ว่าโดยทางตรงหรือทางอ้อม ให้สันนิษฐานไว้ก่อนว่ามีอำนาจควบคุมกิจการ เว้นแต่จะพิสูจน์
