query,result,score
0047|0015|0017,0046|0021|0016,0.8998709961768108
0046|0021|0016,0047|0015|0017,0.8998709961768108
0092|0033|0015,0090|0109|0001,0.8998346919927309
0090|0109|0001,0092|0033|0015,0.8998346919927309
0087|0018|0029,0089|0043|0017,0.8996617919498361
0089|0043|0017,0087|0018|0029,0.8996617919498361
0047|0031|0008,0046|0036|0008,0.8996480074924822
0046|0036|0008,0047|0031|0008,0.8996480074924822
0075|0035|0016,0087|0018|0016,0.8996480074924822
0087|0018|0016,0075|0035|0016,0.8996480074924822
0091|0035|0006,0076|0065|0007,0.8995456896321271
0076|0065|0007,0091|0035|0006,0.8995456896321271
0061|0013|0004,0062|0007|0008,0.8994194942402599
0062|0007|0008,0061|0013|0004,0.8994194942402599
0090|0112|0017,0092|0037|0003,0.8993612242163426
0046|0008|0003,0045|0008|0015,0.8992970681446912
0076|0069|0021,0091|0038|0014,0.8992970681446912
0096|0003|0009,0095|0003|0009,0.8992970681446912
0095|0003|0009,0096|0003|0009,0.8992970681446912
0091|0038|0014,0076|0069|0021,0.8992970681446912
0094|0003|0008,0095|0003|0009,0.8992970681446912
0090|0109|0007,0092|0033|0021,0.8992448406167848
0047|0022|0032,0045|0022|0015,0.8992448406167848
0064|0002|0015,0047|0022|0032,0.8992448406167848
0092|0033|0021,0090|0109|0007,0.8992448406167848
0047|0022|0032,0064|0002|0015,0.8992448406167848
0045|0022|0015,0047|0022|0032,0.8992448406167848
0093|0006|0003,0083|0034|0001,0.899232600475171
0092|0031|0021,0090|0107|0004,0.899160928885317
0090|0107|0004,0092|0031|0021,0.899160928885317
0091|0026|0009,0075|0042|0009,0.8989354241697113
0075|0042|0009,0091|0026|0009,0.8989354241697113
0076|0043|0009,0087|0027|0009,0.8989354241697113
0087|0027|0009,0076|0043|0009,0.8989354241697113
0076|0068|0049,0091|0034|0005,0.8987469377377263
0045|0008|0015,0046|0008|0003,0.8986483549480944
0095|0003|0009,0094|0003|0008,0.8986483549480944
0092|0031|0000,0090|0106|0016,0.8986483549480944
0096|0003|0009,0095|0003|0008,0.8986483549480944
0091|0016|0037,0087|0016|0042,0.8986483549480944
0090|0106|0016,0092|0031|0000,0.8986483549480944
0091|0034|0005,0076|0068|0049,0.8986483549480944
0092|0030|0019,0090|0106|0003,0.8986483549480944
0087|0016|0042,0091|0016|0037,0.8986483549480944
0090|0106|0003,0092|0030|0019,0.8986483549480944
0090|0108|0000,0092|0032|0007,0.8986483549480944
0095|0003|0008,0096|0003|0009,0.8986483549480944
0092|0032|0007,0090|0108|0000,0.8986483549480944
0063|0003|0014,0064|0003|0017,0.8985396083419646
0064|0003|0017,0063|0003|0014,0.8985396083419646
0063|0003|0014,0045|0023|0017,0.8985396083419646
0045|0023|0017,0063|0003|0014,0.8985396083419646
0077|0005|0000,0068|0332|0000,0.8984396568910549
0075|0034|0002,0076|0035|0002,0.8982709330397213
0076|0035|0002,0075|0034|0002,0.8982709330397213
0069|0035|0050,0068|0131|0007,0.8982566328615008
0068|0130|0014,0069|0040|0008,0.8982566328615008
0069|0040|0008,0068|0130|0014,0.8982566328615008
0075|0013|0007,0076|0015|0008,0.8982204495367683
