doc_id,name
0000,นำส่งประกาศธนาคารแห่งประเทศไทย เรื่องกำหนด หลักเกณฑ์ วิธีการ และเงื่อนไขในการประกอบธุรกิจบัตรเครดิต
0001,นำส่งประกาศธนาคารแห่งประเทศไทย เรื่องกำหนด หลักเกณฑ์ วิธีการ และเงื่อนไขในการประกอบธุรกิจสินเชื่อส่วนบุคคลภายใต้การกำกับ
0002,นำส่งประกาศธนาคารแห่งประเทศไทย เรื่องกำหนด หลักเกณฑ์ วิธีการ และเงื่อนไขในการประกอบธุรกิจสินเชื่อรายย่อยเพื่อการประกอบอาชีพภายใต้การกำกับ
0003,นำส่งประกาศธนาคารแห่งประเทศไทย เรื่องกำหนด หลักเกณฑ์ วิธีการ และเงื่อนไขในการประกอบธุรกิจระบบหรือเครือข่ายอิเล็กทรอนิกส์สำหรับธุรกรรมสินเชื่อระหว่างบุคคลกับบุคคล (peer to peer lending platform)
0004,หลักเกณฑ์ วิธีการ และเงื่อนไขในการประกอบธุรกิจสินเชื่อส่วนบุคคลดิจิทัล
0005,กิจการที่ต้องขออนุญาติตามข้อ ๕ แห่งประกาศของคณะปฎิวัติ ฉบับที่ ๕๘ (เรื่องสินเชื่อส่วนบุคคลภายใต้การกำกับ)
0006,กิจการที่ต้องขออนุญาติตามข้อ ๕ แห่งประกาศของคณะปฎิวัติ ฉบับที่ ๕๘ (เรื่องสินเชื่อรายย่อยเพื่อการประกอบอาชีพภายใต้การกำกับ)
0007,กิจการที่ต้องขออนุญาติตามข้อ ๕ แห่งประกาศของคณะปฎิวัติ ฉบับที่ ๕๘ (เรื่องธุรกิจระบบหรือเครือข่ายอิเล็กทรอนิกส์สำหรับธุรกรรมสินเชื่อระหว่างบุคคลกับบุคคล)
0008,กิจการที่ต้องขออนุญาติตามข้อ ๕ แห่งประกาศของคณะปฎิวัติ ฉบับที่ ๕๘ (เรื่องธุรกิจบัตรเครดิต)
0009,หลักประกันเป็นทรัพย์สินที่บริษัทเงินทุนต้องเรียก
0010,หลักเกณฑ์์การกำกับการทำธุรกรรมกับผู้ถือหุ้นรายใหญ่ หรือกิจการที่มี ผลประโยชน์เกี่ยวข้อง (Related Lending)
0011,แนวนโยบายการบริหารความเสี่ยงของประเทศคู่สัญญา
0012,แนวทางการผ่อนผัน เป็นการชั่วคราวเกี่ยวกบัการดำเนินการตาม พระราชบัญญัติธุรกิจสถาบันการเงิน พ.ศ. 2551
0013,การผ่อนผันหลักเกณฑ์์การกำกับการทำธุรกรรมกับผู้ถือหุ้นรายใหญ่ หรือ กิจการที่มีผลประโยชน์เกี่ยวข้อง (Related Lending)
0014,แนวนโยบายการให้สินเชื่อแก่ภาคธุรกิจบางประเภท
0015,หลักเกณฑ์การซื้อหรือมีไวซ้่ึงอสังหาริมทรัพย์เพื่อเป็นสถานที่สำหรับประกอบ ธุรกิจหรือสำหรับพนักงานและลูกจ้างของสถาบันการเงิน
0016,หลักเกณฑ์์การดำเนินงานในกิจการร่วมลงทุนเพื่อพัฒนาอสังหาริมทรัพย์รอ การขายของธนาคารพาณิชย์
0017,ซักซ้อมความเข้าใจเกี่ยวกับการกันเงินสดรองสำหรับสินเชื่อที่มีสิทธิใน บำเหนี้็จตกทอดเป็นหลักทรัพย์ประกันการกู้เงิน
0018,การให้สินเชื่อในลักษณะที่เล็งเห็นว่าจะเรียกคืนไม่ได้
0019,การซักซ้อมความเข้าใจมาตรการการใหค้วามช่วยเหลือลูกหนี้้ีที่ได้รับ ผลกระทบจากอุทกภัย
0020,หลักเกณฑ์การกำกับ ดูแลสินเชื่อที่ได้รับการคำประกันโดยบรรษัทประกันสินเชื่ออุตสาหกรรมขนาดย่อมแบบ Portfolio Guarantee Scheme
0021,แนวนโยบายการปรับปรุงโครงสร้างหนี้้ีลูกหนี้้ีที่ประสบอุทกภย
0022,หลักเกณฑ์การกำกับลูกหนี้้ีรายใหญ่ (Single Lending Limit)
0023,การอนุญาตให้ธนาคารพาณิชย์ทำธุรกรรมการถ่ายโอนหรือรับโอนความเสี่ยง ด้านเครดิต (Risk participation)
0024,การแก้ไขหลักเกณฑ์์การนำหลักประกันประเภทเงินฝากบุคคลที่ 3 มาหักออก จากมูลหนี้้ีก่อนการกนั เงินสำรอง ปรับลดความเสี่ยงและคา นวณสินทรัพย์เสี่ยง ด้านเครดิต
0025,การให้สินเชื่อ ทำธุรกรรมที่มีลกัษณะคล้ายการให้สินเชื่อ หรือประกนั หนี้้ีแก่ กรรมการ ผู้มีอำนาจในการจัดการของสถาบันการเงิน หรือผู้ที่เกี่ยวข้องกับ บุคคลดังกล่าว
0026,แนวนโยบายธนาคารแห่งประเทศไทย เรื่อง การทำธุรกรรมด้านสินเชื่อ การ ลงทุนในหลักทรัพย์ และการขายสินทรัพย์ของสถาบันการเงิน
0027,หลักเกณฑ์์และวิธีการการลงทุนของสถาบันการเงิน
0028,หลักเกณฑ์์การจัดชั้นหนี้ี้และการเงินสำรองของสถาบนัการเงิน
0029,แนวนโยบายการปรับปรุงโครงสร้างหนี้
0030,แนวนโยบายการประเมินราคาหลักประกันและอสังหาริมทรัพย์รอการขายที่ ได้มาจากการรับชำระหนี้ี้การประกนัการให้สินเชื่อ หรือที่ซื้อมาจากการขาย ทอดตลาดของสถาบันการเงิน
0031,นำส่งแนวนโยบาย เรื่อง แนวทางการพิจารณาผ่อนผันการกำ กับลูกหนี้้ีรายใหญ่แก่ กลุ่มธุรกิจที่มีศักยภาพและมีฐานะกิจการที่มั่นคงสำหรับธนาคารพาณิชย์
0032,ซักซ้อมความเข้าใจแนวทางบริหารเงินสำรองส่วนเกิน
0033,หลักเกณฑ์การดำรงเงินขั้นต่ำของสถาบนัการเงินและกลุ่มธุรกิจทางการเงิน
